,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
478,0,0,0,0,0,0,0,0,0,0,0,0
479,0.699074162,0.8350095,0.8350095,0.8350095,0.370518666,0.370518666,0.370518666,0.370518666,0.370518666,0.370518666,0.370518666,0.370518666
480,0.653858127,0.812433025,0.685493369,0.653858127,0,0.653858127,0.653858127,0.653858127,0,0,0,0.653858127
481,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0.595470027,0.595470027,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0.74049668,0.74049668,0,0,0,0,0,0,0,0,0
485,0,0.663659028,0,0,0,0,0,0,0,0,0,0
486,0,0.113297834,0.113297834,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0,0,0
488,0,0.026365162,0.026365162,0,0,0,0,0,0,0,0,0
489,0,0.404140061,0.404140061,0,0,0,0,0,0,0,0,0
490,0,0.714594259,0.714594259,0,0,0,0,0,0,0,0,0
491,0,0.76333688,0.754987193,0,0,0,0,0,0,0,0,0
492,0,0.436369248,0.17755435,0,0,0,0,0,0,0,0,0
493,0,0.32209535,0.32209535,0,0,0,0,0,0,0,0,0
494,0,0.627733417,0.627733417,0,0,0,0,0,0,0,0,0
495,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
496,0,0.385200133,0.375996065,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,0,0,0
498,0,0.555908563,0.550312865,0,0,0,0,0,0,0,0,0
499,0.200504599,0.358109019,0.349669412,0.176815883,0,0,0,0,0,0,0,0.143864773
500,0,0,0,0,0,0,0,0,0,0,0,0
501,0.638155316,0.723816342,0.680017794,0.66226782,0.622667337,0.622667337,0.622667337,0.622667337,0,0,0,0.622667337
502,0,0,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0,0,0
506,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
507,0,0.124303334,0.043459645,0.019997681,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0,0,0
